Version, Version Name, Name, Age, Revisions, Bugfix, LOCs, LOCs Touched, LOCs Added, Churn, Avg. Churn, Authors Number, Average Change Set, Buggy
1,refs/tags/syncope-1.0.4,console/src/main/java/org/apache/syncope/console/pages/BasePage.java,0,4,0,178,241,231,178,44.5,2,391.0,false
1,refs/tags/syncope-1.0.4,console/src/main/java/org/apache/syncope/console/pages/Configuration.java,0,4,0,524,761,733,534,133.5,3,394.25,false
1,refs/tags/syncope-1.0.4,console/src/main/java/org/apache/syncope/console/pages/ConfigurationModalPage.java,0,2,0,97,120,118,97,48.5,2,774.5,false
1,refs/tags/syncope-1.0.4,console/src/main/java/org/apache/syncope/console/pages/ConnectorModalPage.java,0,3,0,344,483,463,344,114.66666666666667,3,518.6666666666666,false
1,refs/tags/syncope-1.0.4,console/src/main/java/org/apache/syncope/console/pages/DerivedSchemaModalPage.java,0,2,0,94,121,120,94,47.0,2,774.5,true
1,refs/tags/syncope-1.0.4,console/src/main/java/org/apache/syncope/console/pages/DisplayAttributesModalPage.java,0,3,0,230,341,326,230,76.66666666666667,1,510.0,false
1,refs/tags/syncope-1.0.4,console/src/main/java/org/apache/syncope/console/pages/EditUserModalPage.java,0,1,0,72,90,90,72,72.0,1,1524.0,true
1,refs/tags/syncope-1.0.4,console/src/main/java/org/apache/syncope/console/pages/ErrorPage.java,0,1,0,35,41,41,35,35.0,1,1524.0,false
1,refs/tags/syncope-1.0.4,console/src/main/java/org/apache/syncope/console/pages/ExecMessageModalPage.java,0,1,0,28,32,32,28,28.0,1,1524.0,false
1,refs/tags/syncope-1.0.4,console/src/main/java/org/apache/syncope/console/pages/HomePage.java,0,1,0,29,33,33,29,29.0,1,1524.0,false
1,refs/tags/syncope-1.0.4,console/src/main/java/org/apache/syncope/console/pages/Login.java,0,4,0,214,314,293,220,55.0,3,397.0,false
1,refs/tags/syncope-1.0.4,console/src/main/java/org/apache/syncope/console/pages/Logout.java,0,3,0,39,60,54,47,15.666666666666666,2,521.0,true
1,refs/tags/syncope-1.0.4,console/src/main/java/org/apache/syncope/console/pages/MembershipModalPage.java,0,3,0,75,110,103,85,28.333333333333332,2,516.6666666666666,true
1,refs/tags/syncope-1.0.4,console/src/main/java/org/apache/syncope/console/pages/NotificationModalPage.java,0,4,0,211,277,268,211,52.75,3,397.0,false
1,refs/tags/syncope-1.0.4,console/src/main/java/org/apache/syncope/console/pages/NotificationTaskModalPage.java,0,2,0,59,79,74,59,29.5,2,764.0,false
1,refs/tags/syncope-1.0.4,console/src/main/java/org/apache/syncope/console/pages/PolicyModalPage.java,0,3,0,166,218,212,166,55.333333333333336,3,516.6666666666666,true
1,refs/tags/syncope-1.0.4,console/src/main/java/org/apache/syncope/console/pages/PropagationTaskModalPage.java,0,1,0,39,45,45,39,39.0,1,1524.0,false
1,refs/tags/syncope-1.0.4,console/src/main/java/org/apache/syncope/console/pages/ReportExecResultDownloadModalPage.java,0,1,0,56,70,70,56,56.0,1,1524.0,false
1,refs/tags/syncope-1.0.4,console/src/main/java/org/apache/syncope/console/pages/ReportModalPage.java,0,5,0,449,600,587,455,91.0,4,315.8,false
1,refs/tags/syncope-1.0.4,console/src/main/java/org/apache/syncope/console/pages/ReportletConfModalPage.java,0,3,0,287,354,351,287,95.66666666666667,2,526.3333333333334,false
1,refs/tags/syncope-1.0.4,console/src/main/java/org/apache/syncope/console/pages/Reports.java,0,2,0,382,495,495,382,191.0,2,768.0,true
1,refs/tags/syncope-1.0.4,console/src/main/java/org/apache/syncope/console/pages/ResourceModalPage.java,0,3,0,136,171,168,136,45.333333333333336,3,517.3333333333334,false
